symbol,date,time,frequency,open,high,low,close,volume,value,kind,source,productionUsage
US10Y_MONTHLY_SAMPLE,2004-10-01,2004-10-01T00:00:00Z,monthly,4.1,4.1,4.1,4.1,,4.1,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2004-11-01,2004-11-01T00:00:00Z,monthly,4.19,4.19,4.19,4.19,,4.19,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2004-12-01,2004-12-01T00:00:00Z,monthly,4.23,4.23,4.23,4.23,,4.23,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2005-01-01,2005-01-01T00:00:00Z,monthly,4.22,4.22,4.22,4.22,,4.22,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2005-02-01,2005-02-01T00:00:00Z,monthly,4.17,4.17,4.17,4.17,,4.17,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2005-03-01,2005-03-01T00:00:00Z,monthly,4.5,4.5,4.5,4.5,,4.5,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2005-04-01,2005-04-01T00:00:00Z,monthly,4.34,4.34,4.34,4.34,,4.34,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2005-05-01,2005-05-01T00:00:00Z,monthly,4.14,4.14,4.14,4.14,,4.14,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2005-06-01,2005-06-01T00:00:00Z,monthly,4.0,4.0,4.0,4.0,,4.0,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2005-07-01,2005-07-01T00:00:00Z,monthly,4.18,4.18,4.18,4.18,,4.18,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2005-08-01,2005-08-01T00:00:00Z,monthly,4.26,4.26,4.26,4.26,,4.26,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2005-09-01,2005-09-01T00:00:00Z,monthly,4.2,4.2,4.2,4.2,,4.2,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2005-10-01,2005-10-01T00:00:00Z,monthly,4.46,4.46,4.46,4.46,,4.46,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2005-11-01,2005-11-01T00:00:00Z,monthly,4.54,4.54,4.54,4.54,,4.54,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2005-12-01,2005-12-01T00:00:00Z,monthly,4.47,4.47,4.47,4.47,,4.47,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2006-01-01,2006-01-01T00:00:00Z,monthly,4.42,4.42,4.42,4.42,,4.42,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2006-02-01,2006-02-01T00:00:00Z,monthly,4.57,4.57,4.57,4.57,,4.57,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2006-03-01,2006-03-01T00:00:00Z,monthly,4.72,4.72,4.72,4.72,,4.72,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2006-04-01,2006-04-01T00:00:00Z,monthly,4.99,4.99,4.99,4.99,,4.99,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2006-05-01,2006-05-01T00:00:00Z,monthly,5.11,5.11,5.11,5.11,,5.11,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2006-06-01,2006-06-01T00:00:00Z,monthly,5.11,5.11,5.11,5.11,,5.11,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2006-07-01,2006-07-01T00:00:00Z,monthly,5.09,5.09,5.09,5.09,,5.09,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2006-08-01,2006-08-01T00:00:00Z,monthly,4.88,4.88,4.88,4.88,,4.88,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2006-09-01,2006-09-01T00:00:00Z,monthly,4.72,4.72,4.72,4.72,,4.72,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2006-10-01,2006-10-01T00:00:00Z,monthly,4.73,4.73,4.73,4.73,,4.73,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2006-11-01,2006-11-01T00:00:00Z,monthly,4.6,4.6,4.6,4.6,,4.6,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2006-12-01,2006-12-01T00:00:00Z,monthly,4.56,4.56,4.56,4.56,,4.56,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2007-01-01,2007-01-01T00:00:00Z,monthly,4.76,4.76,4.76,4.76,,4.76,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2007-02-01,2007-02-01T00:00:00Z,monthly,4.72,4.72,4.72,4.72,,4.72,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2007-03-01,2007-03-01T00:00:00Z,monthly,4.56,4.56,4.56,4.56,,4.56,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2007-04-01,2007-04-01T00:00:00Z,monthly,4.69,4.69,4.69,4.69,,4.69,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2007-05-01,2007-05-01T00:00:00Z,monthly,4.75,4.75,4.75,4.75,,4.75,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2007-06-01,2007-06-01T00:00:00Z,monthly,5.1,5.1,5.1,5.1,,5.1,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2007-07-01,2007-07-01T00:00:00Z,monthly,5.0,5.0,5.0,5.0,,5.0,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2007-08-01,2007-08-01T00:00:00Z,monthly,4.67,4.67,4.67,4.67,,4.67,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2007-09-01,2007-09-01T00:00:00Z,monthly,4.52,4.52,4.52,4.52,,4.52,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2007-10-01,2007-10-01T00:00:00Z,monthly,4.53,4.53,4.53,4.53,,4.53,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2007-11-01,2007-11-01T00:00:00Z,monthly,4.15,4.15,4.15,4.15,,4.15,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2007-12-01,2007-12-01T00:00:00Z,monthly,4.1,4.1,4.1,4.1,,4.1,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2008-01-01,2008-01-01T00:00:00Z,monthly,3.74,3.74,3.74,3.74,,3.74,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2008-02-01,2008-02-01T00:00:00Z,monthly,3.74,3.74,3.74,3.74,,3.74,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2008-03-01,2008-03-01T00:00:00Z,monthly,3.51,3.51,3.51,3.51,,3.51,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2008-04-01,2008-04-01T00:00:00Z,monthly,3.68,3.68,3.68,3.68,,3.68,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2008-05-01,2008-05-01T00:00:00Z,monthly,3.88,3.88,3.88,3.88,,3.88,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2008-06-01,2008-06-01T00:00:00Z,monthly,4.1,4.1,4.1,4.1,,4.1,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2008-07-01,2008-07-01T00:00:00Z,monthly,4.01,4.01,4.01,4.01,,4.01,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2008-08-01,2008-08-01T00:00:00Z,monthly,3.89,3.89,3.89,3.89,,3.89,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
US10Y_MONTHLY_SAMPLE,2008-09-01,2008-09-01T00:00:00Z,monthly,3.69,3.69,3.69,3.69,,3.69,factor_candle,GitHub datasets mirror sample,offline_sample_production_disabled
